 ,Area,Mean,Min,Max,X,Y,Slice
1,0,35,35,35,1348.000,571.500,1
2,0,59,59,59,1361.000,570.500,1
3,0,136,136,136,0.000,8.000,1
4,0,133,133,133,4.000,2.000,1
5,0,132,132,132,4.000,4.000,1
6,0,136,136,136,6.000,8.000,1
7,0,57,57,57,1422.000,566.000,1
8,0,133,133,133,8.000,6.000,1
9,0,136,136,136,0.000,8.000,1
10,0,138,138,138,4.000,8.000,1
11,0,133,133,133,4.000,2.000,1
12,0,134,134,134,2.000,8.000,1
13,0,136,136,136,8.000,2.000,1
14,0,129,129,129,1400.000,572.500,1
15,0,158,158,158,1418.500,596.500,1
16,0,157,157,157,1384.500,603.500,1
17,0,206,206,206,1375.000,619.500,1
18,0,84,84,84,1448.000,577.000,1
19,0,100,100,100,1437.500,581.500,1
20,0,133,133,133,6.000,6.000,1
21,0,54,54,54,1454.000,624.500,1
22,0,237,237,237,1310.500,622.500,1
23,0,81,81,81,1102.333,571.333,2
24,0,147,147,147,1112.333,567.333,2
25,0,138,138,138,2.000,2.000,2
26,0,136,136,136,6.000,6.000,2
27,0,136,136,136,4.000,6.000,2
28,0,138,138,138,2.000,4.000,2
29,0,59,59,59,1198.333,567.333,2
30,0,134,134,134,2.000,6.000,2
31,0,137,137,137,4.000,2.000,2
32,0,134,134,134,4.000,8.000,2
33,0,137,137,137,0.000,6.000,2
34,0,137,137,137,4.000,2.000,2
35,0,136,136,136,4.000,4.000,2
36,0,75,75,75,1177.000,579.333,2
37,0,183,183,183,1163.667,635.333,2
38,0,155,155,155,1087.667,638.000,2
39,0,83,83,83,1074.333,636.000,2
40,0,168,168,168,1278.333,592.667,2
41,0,199,199,199,1249.000,586.000,2
42,0,118,118,118,1247.667,646.000,2
43,0,115,115,115,1195.667,647.333,2
44,0,138,138,138,2.000,2.000,2
45,0,133,133,133,8.000,6.000,3
46,0,110,110,110,980.333,565.333,3
47,0,133,133,133,4.000,6.000,3
48,0,136,136,136,0.000,4.000,3
49,0,134,134,134,4.000,8.000,3
50,0,133,133,133,4.000,2.000,3
51,0,20,20,20,1090.000,568.000,3
52,0,133,133,133,4.000,6.000,3
53,0,133,133,133,8.000,6.000,3
54,0,131,131,131,6.000,2.000,3
55,0,132,132,132,2.000,0.000,3
56,0,81,81,81,1229.000,645.000,3
57,0,63,63,63,1237.000,617.000,3
58,0,41,41,41,1033.000,572.000,3
59,0,187,187,187,1005.000,629.000,3
60,0,131,131,131,0.000,2.000,3
61,0,132,132,132,6.000,4.000,3
62,0,57,57,57,1175.000,597.000,3
63,0,31,31,31,1138.000,621.000,3
64,0,209,209,209,1121.000,658.000,3
65,0,132,132,132,2.000,2.000,3
66,0,135,135,135,0.000,6.000,3
67,0,92,92,92,640.333,540.333,4
68,0,134,134,134,2.000,2.000,4
69,0,134,134,134,2.000,3.000,4
70,0,134,134,134,2.000,4.000,4
71,0,138,138,138,3.000,3.500,4
72,0,134,134,134,3.000,2.000,4
73,0,29,29,29,528.000,514.000,4
74,0,132,132,132,0.500,3.000,4
75,0,134,134,134,4.000,2.500,4
76,0,134,134,134,1.500,3.500,4
77,0,132,132,132,1.000,1.000,4
78,0,36,36,36,564.000,624.000,4
79,0,88,88,88,730.000,638.000,4
80,0,132,132,132,1.000,1.500,4
81,0,136,136,136,4.000,3.500,4
82,0,134,134,134,2.000,4.500,4
83,0,134,134,134,2.500,3.000,4
84,0,134,134,134,3.500,2.500,4
85,0,138,138,138,3.000,3.500,4
86,0,146,146,146,392.000,618.000,4
87,0,134,134,134,2.000,2.500,4
88,0,121,121,121,840.000,616.000,4
89,0,96,96,96,732.000,542.000,5
90,0,136,136,136,4.000,2.000,5
91,0,34,34,34,634.000,518.000,5
92,0,106,106,106,638.000,613.000,5
93,0,69,69,69,742.000,585.000,5
94,0,140,140,140,772.000,604.000,5
95,0,146,146,146,512.000,500.000,5
96,0,142,142,142,384.000,516.333,5
97,0,77,77,77,405.333,623.000,5
98,0,158,158,158,272.000,604.333,5
99,0,116,116,116,276.000,684.333,5
100,0,115,115,115,236.000,441.667,5
101,0,49,49,49,72.000,413.667,5
102,0,134,134,134,4.000,6.000,5
